기업,구분,항목,Dec-22,Dec-23,Dec-24,2025/12(E),2026/12(E),2027/12(E),23,24,25,26,27
APS,연결,영업이익(억원),-152.7,-186.04,-226.38,,,,22%,22%,-100%,#DIV/0!,#DIV/0!
APS,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
APS,연결,  컨센서스대비(%),적지,,,-,-,-,#VALUE!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
APS,연결,당기순이익(억원),63.93,140.43,-34.47,,,,120%,-125%,-100%,#DIV/0!,#DIV/0!
APS,연결,  전년동기대비(%),-72.89,119.66,적전,,,,-264%,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
APS,연결,  컨센서스대비(%),-41.88,,,-,-,-,-100%,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
AP시스템,연결,매출액(억원),"4,866.08","5,335.79","5,166.98",,,,10%,-3%,-100%,#DIV/0!,#DIV/0!
AP시스템,연결,  전년동기대비(%),-7.97,9.65,-3.16,,,,-221%,-133%,-100%,#DIV/0!,#DIV/0!
AP시스템,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
AP시스템,연결,영업이익(억원),904.85,601.21,471.9,,,,-34%,-22%,-100%,#DIV/0!,#DIV/0!
AP시스템,연결,  전년동기대비(%),40.71,-33.56,-21.51,,,,-182%,-36%,-100%,#DIV/0!,#DIV/0!
AP시스템,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
AP시스템,연결,당기순이익(억원),822.38,600.34,517.84,,,,-27%,-14%,-100%,#DIV/0!,#DIV/0!
AP시스템,연결,  전년동기대비(%),43.86,-27,-13.74,,,,-162%,-49%,-100%,#DIV/0!,#DIV/0!
AP시스템,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
AP위성,연결,매출액(억원),536.04,494.34,586.32,,,,-8%,19%,-100%,#DIV/0!,#DIV/0!
AP위성,연결,  전년동기대비(%),33.34,-7.78,18.61,,,,-123%,-339%,-100%,#DIV/0!,#DIV/0!
AP위성,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
AP위성,연결,영업이익(억원),44.94,100.71,73,,,,124%,-28%,-100%,#DIV/0!,#DIV/0!
AP위성,연결,  전년동기대비(%),433.73,124.1,-27.51,,,,-71%,-122%,-100%,#DIV/0!,#DIV/0!
AP위성,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
AP위성,연결,당기순이익(억원),40.77,105.15,104.28,,,,158%,-1%,-100%,#DIV/0!,#DIV/0!
AP위성,연결,  전년동기대비(%),190.8,157.91,-0.83,,,,-17%,-101%,-100%,#DIV/0!,#DIV/0!
AP위성,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
AP헬스케어,연결,매출액(억원),95.98,160.07,164,,,,67%,2%,-100%,#DIV/0!,#DIV/0!
AP헬스케어,연결,  전년동기대비(%),14.04,66.77,2.46,,,,376%,-96%,-100%,#DIV/0!,#DIV/0!
AP헬스케어,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
AP헬스케어,연결,영업이익(억원),-9.3,1.89,9.67,,,,-120%,412%,-100%,#DIV/0!,#DIV/0!
AP헬스케어,연결,  전년동기대비(%),적지,흑전,411.64,,,,#VALUE!,#VALUE!,-100%,#DIV/0!,#DIV/0!
AP헬스케어,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
AP헬스케어,연결,당기순이익(억원),24.31,41.71,-280.2,,,,72%,-772%,-100%,#DIV/0!,#DIV/0!
AP헬스케어,연결,  전년동기대비(%),-8.16,71.58,적전,,,,-977%,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
AP헬스케어,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
BF랩스,연결,매출액(억원),283.55,285.65,171.98,,,,1%,-40%,-100%,#DIV/0!,#DIV/0!
BF랩스,연결,  전년동기대비(%),2,0.74,-39.79,,,,-63%,-5477%,-100%,#DIV/0!,#DIV/0!
BF랩스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
BF랩스,연결,영업이익(억원),-60.73,-23.51,-97.74,,,,-61%,316%,-100%,#DIV/0!,#DIV/0!
BF랩스,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
BF랩스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
BF랩스,연결,당기순이익(억원),-193.06,-2.73,-234.13,,,,-99%,8476%,-100%,#DIV/0!,#DIV/0!
BF랩스,연결,  전년동기대비(%),적전,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
BF랩스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
BGF,연결,매출액(억원),"4,349.97","3,563.93","4,340.85","4,440","4,550","4,640",-18%,22%,2%,2%,2%
BGF,연결,  전년동기대비(%),189.63,-18.07,21.8,2.28,2.48,1.98,-110%,-221%,-90%,9%,-20%
BGF,연결,  컨센서스대비(%),0.46,-17.88,,-,-,-,-3987%,-100%,#VALUE!,#VALUE!,#VALUE!
BGF,연결,영업이익(억원),612.04,605.7,552.29,500,570,630,-1%,-9%,-9%,14%,11%
BGF,연결,  전년동기대비(%),61.46,-1.04,-8.82,-9.47,14,10.53,-102%,748%,7%,-248%,-25%
BGF,연결,  컨센서스대비(%),-4.37,-14.69,,-,-,-,236%,-100%,#VALUE!,#VALUE!,#VALUE!
BGF,연결,당기순이익(억원),261.77,691.37,947.77,480,500,550,164%,37%,-49%,4%,10%
BGF,연결,  전년동기대비(%),-27.24,164.11,37.09,-49.35,4.17,10,-702%,-77%,-233%,-108%,140%
BGF,연결,  컨센서스대비(%),-44.3,17.18,,-,-,-,-139%,-100%,#VALUE!,#VALUE!,#VALUE!
BGF리테일,연결,매출액(억원),"76,157.69","81,947.54","86,987.57","90,875","95,326","100,261",8%,6%,4%,5%,5%
BGF리테일,연결,  전년동기대비(%),12.31,7.6,6.15,4.47,4.9,5.18,-38%,-19%,-27%,10%,6%
BGF리테일,연결,  컨센서스대비(%),0.15,-0.54,0.62,-,-,-,-460%,-215%,#VALUE!,#VALUE!,#VALUE!
BGF리테일,연결,영업이익(억원),"2,524.08","2,531.88","2,516.41","2,536","2,738","2,931",0%,-1%,1%,8%,7%
BGF리테일,연결,  전년동기대비(%),26.56,0.31,-0.61,0.8,7.95,7.05,-99%,-297%,-231%,894%,-11%
BGF리테일,연결,  컨센서스대비(%),-3.88,-0.85,-1.03,-,-,-,-78%,21%,#VALUE!,#VALUE!,#VALUE!
BGF리테일,연결,당기순이익(억원),"1,935.39","1,958.45","1,952.18","1,908","2,075","2,232",1%,0%,-2%,9%,8%
BGF리테일,연결,  전년동기대비(%),31.09,1.19,-0.32,-2.28,8.79,7.54,-96%,-127%,613%,-486%,-14%
BGF리테일,연결,  컨센서스대비(%),-1.41,-0.15,1.93,-,-,-,-89%,-1387%,#VALUE!,#VALUE!,#VALUE!
BGF에코머티리얼즈,연결,매출액(억원),"2,633.02","2,856.59","3,643.14",,,,8%,28%,-100%,#DIV/0!,#DIV/0!
BGF에코머티리얼즈,연결,  전년동기대비(%),29.42,8.49,27.53,,,,-71%,224%,-100%,#DIV/0!,#DIV/0!
BGF에코머티리얼즈,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
BGF에코머티리얼즈,연결,영업이익(억원),159.25,171.93,140.11,,,,8%,-19%,-100%,#DIV/0!,#DIV/0!
BGF에코머티리얼즈,연결,  전년동기대비(%),-28.48,7.96,-18.51,,,,-128%,-333%,-100%,#DIV/0!,#DIV/0!
BGF에코머티리얼즈,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
BGF에코머티리얼즈,연결,당기순이익(억원),288.8,-98.06,154.89,,,,-134%,-258%,-100%,#DIV/0!,#DIV/0!
BGF에코머티리얼즈,연결,  전년동기대비(%),"3,541.87",적전,흑전,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
BGF에코머티리얼즈,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
BNK금융지주,연결,이자수익(억원),"47,789.62","66,917.21","69,490.48","68,605","70,184","72,656",40%,4%,-1%,2%,4%
BNK금융지주,연결,  전년동기대비(%),34.54,40.02,3.85,-1.27,2.3,3.52,16%,-90%,-133%,-281%,53%
BNK금융지주,연결,  컨센서스대비(%),2.45,0.91,0.24,-,-,-,-63%,-74%,#VALUE!,#VALUE!,#VALUE!
BNK금융지주,연결,영업이익(억원),"11,561.41","8,011.74","8,759.20","9,575","10,590","11,258",-31%,9%,9%,11%,6%
BNK금융지주,연결,  전년동기대비(%),5.87,-30.7,9.33,9.31,10.6,6.31,-623%,-130%,0%,14%,-40%
BNK금융지주,연결,  컨센서스대비(%),-2.91,-17.08,-8.84,-,-,-,487%,-48%,#VALUE!,#VALUE!,#VALUE!
BNK금융지주,연결,당기순이익(억원),"8,331.50","6,789.05","7,499.76","7,898","8,650","9,193",-19%,10%,5%,10%,6%
BNK금융지주,연결,  전년동기대비(%),-0.13,-18.51,10.47,5.31,9.52,6.29,14138%,-157%,-49%,79%,-34%
BNK금융지주,연결,  컨센서스대비(%),-4.4,-8.99,-8.98,-,-,-,104%,0%,#VALUE!,#VALUE!,#VALUE!
BYC,연결,매출액(억원),"1,696.80","1,684.02","1,652.08",,,,-1%,-2%,-100%,#DIV/0!,#DIV/0!
BYC,연결,  전년동기대비(%),3.18,-0.75,-1.9,,,,-124%,153%,-100%,#DIV/0!,#DIV/0!
BYC,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
BYC,연결,영업이익(억원),253.26,274.98,238.33,,,,9%,-13%,-100%,#DIV/0!,#DIV/0!
BYC,연결,  전년동기대비(%),-5.19,8.58,-13.33,,,,-265%,-255%,-100%,#DIV/0!,#DIV/0!
BYC,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
BYC,연결,당기순이익(억원),352.87,236.67,184.05,,,,-33%,-22%,-100%,#DIV/0!,#DIV/0!
BYC,연결,  전년동기대비(%),18.19,-32.93,-22.23,,,,-281%,-32%,-100%,#DIV/0!,#DIV/0!
BYC,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
CG인바이츠,연결,매출액(억원),43.21,48.79,72.53,,,,13%,49%,-100%,#DIV/0!,#DIV/0!
CG인바이츠,연결,  전년동기대비(%),-89.8,12.91,48.66,,,,-114%,277%,-100%,#DIV/0!,#DIV/0!
CG인바이츠,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
CG인바이츠,연결,영업이익(억원),-230.46,-309.13,-388.13,,,,34%,26%,-100%,#DIV/0!,#DIV/0!
CG인바이츠,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
CG인바이츠,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
CG인바이츠,연결,당기순이익(억원),-255.68,-500.42,-518.09,,,,96%,4%,-100%,#DIV/0!,#DIV/0!
CG인바이츠,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
CG인바이츠,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
CJ,연결,매출액(억원),"409,248.80","413,526.88","436,466.56","454,120","475,916","500,544",1%,6%,4%,5%,5%
CJ,연결,  전년동기대비(%),18.68,1.05,5.55,4.04,4.8,5.17,-94%,429%,-27%,19%,8%
CJ,연결,  컨센서스대비(%),0.1,-0.63,0.29,-,-,-,-730%,-146%,#VALUE!,#VALUE!,#VALUE!
CJ,연결,영업이익(억원),"21,542.02","20,390.58","25,474.84","27,901","30,447","31,714",-5%,25%,10%,9%,4%
CJ,연결,  전년동기대비(%),14.48,-5.35,24.93,9.52,9.12,4.16,-137%,-566%,-62%,-4%,-54%
CJ,연결,  컨센서스대비(%),-6.2,2.26,-2.11,-,-,-,-136%,-193%,#VALUE!,#VALUE!,#VALUE!
CJ,연결,당기순이익(억원),"6,868.46","5,246.68","1,511.96","7,763","9,542","10,964",-24%,-71%,413%,23%,15%
CJ,연결,  전년동기대비(%),-14.88,-23.61,-71.18,413.44,22.92,14.9,59%,201%,-681%,-94%,-35%
CJ,연결,  컨센서스대비(%),-20.42,-3.37,-72.02,-,-,-,-83%,2037%,#VALUE!,#VALUE!,#VALUE!
CJ CGV,연결,매출액(억원),"12,731.92","15,458.39","19,578.84","23,663","25,091","26,266",21%,27%,21%,6%,5%
CJ CGV,연결,  전년동기대비(%),72.91,21.41,26.66,20.86,6.03,4.68,-71%,25%,-22%,-71%,-22%
CJ CGV,연결,  컨센서스대비(%),-2.56,-1.8,0.57,-,-,-,-30%,-132%,#VALUE!,#VALUE!,#VALUE!
CJ CGV,연결,영업이익(억원),-702.36,490.66,759.34,"1,109","1,363","1,582",-170%,55%,46%,23%,16%
CJ CGV,연결,  전년동기대비(%),적지,흑전,54.76,46,22.94,16.04,#VALUE!,#VALUE!,-16%,-50%,-30%
CJ CGV,연결,  컨센서스대비(%),적지,-1.28,-27.87,-,-,-,#VALUE!,2077%,#VALUE!,#VALUE!,#VALUE!
CJ CGV,연결,당기순이익(억원),"-2,145.08","-1,233.53","-1,754.69",-243,111,368,-42%,42%,-86%,-146%,232%
CJ CGV,연결,  전년동기대비(%),적지,적지,적지,적지,흑전,231.53,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CJ CGV,연결,  컨센서스대비(%),적지,적지,적지,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CJ ENM,연결,매출액(억원),"47,922.38","43,683.61","52,313.60","53,848","57,160","61,063",-9%,20%,3%,6%,7%
CJ ENM,연결,  전년동기대비(%),34.9,-8.85,19.76,2.93,6.15,6.83,-125%,-323%,-85%,110%,11%
CJ ENM,연결,  컨센서스대비(%),4.32,-0.59,10.25,-,-,-,-114%,-1837%,#VALUE!,#VALUE!,#VALUE!
CJ ENM,연결,영업이익(억원),"1,373.76",-146,"1,044.78","1,602","2,348","2,870",-111%,-816%,53%,47%,22%
CJ ENM,연결,  전년동기대비(%),-53.73,적전,흑전,53.3,46.58,22.23,#VALUE!,#VALUE!,#VALUE!,-13%,-52%
CJ ENM,연결,  컨센서스대비(%),-15.51,적지,-21.53,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CJ ENM,연결,당기순이익(억원),"-1,768.15","-3,967.75","-5,808.47",-432,768,"1,341",124%,46%,-93%,-278%,75%
CJ ENM,연결,  전년동기대비(%),적전,적지,적지,적지,흑전,74.67,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CJ ENM,연결,  컨센서스대비(%),적지,적지,적지,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CJ 바이오사이언스,연결,매출액(억원),40.75,55.75,34.67,,,,37%,-38%,-100%,#DIV/0!,#DIV/0!
CJ 바이오사이언스,연결,  전년동기대비(%),-6.6,36.81,-37.81,,,,-658%,-203%,-100%,#DIV/0!,#DIV/0!
CJ 바이오사이언스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
CJ 바이오사이언스,연결,영업이익(억원),-332.33,-320.57,-342.41,,,,-4%,7%,-100%,#DIV/0!,#DIV/0!
CJ 바이오사이언스,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
CJ 바이오사이언스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
CJ 바이오사이언스,연결,당기순이익(억원),-349.13,-229.13,-328.38,,,,-34%,43%,-100%,#DIV/0!,#DIV/0!
CJ 바이오사이언스,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
CJ 바이오사이언스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
CJ대한통운,연결,매출액(억원),"121,307.13","117,678.94","121,167.61","127,295","132,553","137,620",-3%,3%,5%,4%,4%
CJ대한통운,연결,  전년동기대비(%),6.94,-2.99,2.96,5.06,4.13,3.82,-143%,-199%,71%,-18%,-8%
CJ대한통운,연결,  컨센서스대비(%),-1.73,0.13,0.11,-,-,-,-108%,-15%,#VALUE!,#VALUE!,#VALUE!
CJ대한통운,연결,영업이익(억원),"4,117.87","4,802.35","5,306.63","5,150","5,774","6,382",17%,11%,-3%,12%,11%
CJ대한통운,연결,  전년동기대비(%),19.75,16.62,10.5,-2.95,12.12,10.53,-16%,-37%,-128%,-511%,-13%
CJ대한통운,연결,  컨센서스대비(%),-1.38,2.62,0.94,-,-,-,-290%,-64%,#VALUE!,#VALUE!,#VALUE!
CJ대한통운,연결,당기순이익(억원),"1,968.22","2,428.76","2,683.20","2,702","3,180","3,703",23%,10%,1%,18%,16%
CJ대한통운,연결,  전년동기대비(%),24.35,23.4,10.48,0.7,17.68,16.46,-4%,-55%,-93%,2426%,-7%
CJ대한통운,연결,  컨센서스대비(%),-12.32,2.82,1.33,-,-,-,-123%,-53%,#VALUE!,#VALUE!,#VALUE!
CJ씨푸드,연결,매출액(억원),"1,527.01","1,483.49","1,937.17",,,,-3%,31%,-100%,#DIV/0!,#DIV/0!
CJ씨푸드,연결,  전년동기대비(%),-5.82,-2.85,30.58,,,,-51%,-1173%,-100%,#DIV/0!,#DIV/0!
CJ씨푸드,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
CJ씨푸드,연결,영업이익(억원),41.35,41.39,43.58,,,,0%,5%,-100%,#DIV/0!,#DIV/0!
CJ씨푸드,연결,  전년동기대비(%),-8.09,0.1,5.29,,,,-101%,5190%,-100%,#DIV/0!,#DIV/0!
CJ씨푸드,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
CJ씨푸드,연결,당기순이익(억원),74.2,44.35,50.19,,,,-40%,13%,-100%,#DIV/0!,#DIV/0!
CJ씨푸드,연결,  전년동기대비(%),236.66,-40.23,13.17,,,,-117%,-133%,-100%,#DIV/0!,#DIV/0!
CJ씨푸드,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
CJ제일제당,연결,매출액(억원),"300,795.13","290,234.73","293,590.82","300,961","312,931","324,508",-4%,1%,3%,4%,4%
CJ제일제당,연결,  전년동기대비(%),14.42,-3.51,1.16,2.51,3.98,3.7,-124%,-133%,116%,59%,-7%
CJ제일제당,연결,  컨센서스대비(%),-0.52,-0.36,0,-,-,-,-31%,-100%,#VALUE!,#VALUE!,#VALUE!
CJ제일제당,연결,영업이익(억원),"16,647.08","12,915.82","15,530.18","15,692","17,170","18,243",-22%,20%,1%,9%,6%
CJ제일제당,연결,  전년동기대비(%),9.2,-22.41,20.24,1.04,9.42,6.25,-344%,-190%,-95%,806%,-34%
CJ제일제당,연결,  컨센서스대비(%),-5.1,0.08,-0.42,-,-,-,-102%,-625%,#VALUE!,#VALUE!,#VALUE!
CJ제일제당,연결,당기순이익(억원),"8,026.74","5,594.62","3,618.36","6,612","8,375","9,638",-30%,-35%,83%,27%,15%
CJ제일제당,연결,  전년동기대비(%),-10.05,-30.3,-35.32,82.73,26.66,15.08,201%,17%,-334%,-68%,-43%
CJ제일제당,연결,  컨센서스대비(%),-11.36,6.89,-47.78,-,-,-,-161%,-793%,#VALUE!,#VALUE!,#VALUE!
CJ프레시웨이,연결,매출액(억원),"27,476.92","30,742.42","32,247.79","35,058","37,621","40,548",12%,5%,9%,7%,8%
CJ프레시웨이,연결,  전년동기대비(%),19.91,11.88,4.9,8.71,7.31,7.78,-40%,-59%,78%,-16%,6%
CJ프레시웨이,연결,  컨센서스대비(%),-0.9,0.14,0.19,-,-,-,-116%,36%,#VALUE!,#VALUE!,#VALUE!
CJ프레시웨이,연결,영업이익(억원),978.4,992.56,940.25,"1,072","1,186","1,293",1%,-5%,14%,11%,9%
CJ프레시웨이,연결,  전년동기대비(%),75.88,1.45,-5.27,14.03,10.65,8.97,-98%,-463%,-366%,-24%,-16%
CJ프레시웨이,연결,  컨센서스대비(%),-7,-0.04,-1.31,-,-,-,-99%,3175%,#VALUE!,#VALUE!,#VALUE!
CJ프레시웨이,연결,당기순이익(억원),522.43,597,274.05,666,727,822,14%,-54%,143%,9%,13%
CJ프레시웨이,연결,  전년동기대비(%),67.96,14.27,-54.1,143.14,9.11,13.12,-79%,-479%,-365%,-94%,44%
CJ프레시웨이,연결,  컨센서스대비(%),-23.02,2.62,-4.95,-,-,-,-111%,-289%,#VALUE!,#VALUE!,#VALUE!
CMG제약,연결,매출액(억원),821.97,939.07,991,,,,14%,6%,-100%,#DIV/0!,#DIV/0!
CMG제약,연결,  전년동기대비(%),18.31,14.25,5.53,,,,-22%,-61%,-100%,#DIV/0!,#DIV/0!
CMG제약,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
CMG제약,연결,영업이익(억원),29.81,30.37,10.2,,,,2%,-66%,-100%,#DIV/0!,#DIV/0!
CMG제약,연결,  전년동기대비(%),79.58,1.88,-66.41,,,,-98%,-3632%,-100%,#DIV/0!,#DIV/0!
CMG제약,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
CMG제약,연결,당기순이익(억원),-3.88,64.55,26.95,,,,-1764%,-58%,-100%,#DIV/0!,#DIV/0!
CMG제약,연결,  전년동기대비(%),적전,흑전,-58.25,,,,#VALUE!,#VALUE!,-100%,#DIV/0!,#DIV/0!
CMG제약,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
CNH,연결,순영업수익(억원),-42.35,236.6,-603.52,,,,-659%,-355%,-100%,#DIV/0!,#DIV/0!
CNH,연결,  전년동기대비(%),적전,흑전,적전,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
CNH,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
CNH,연결,영업이익(억원),-417.73,-97.6,-911.8,,,,-77%,834%,-100%,#DIV/0!,#DIV/0!
CNH,연결,  전년동기대비(%),적전,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
CNH,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
CNH,연결,당기순이익(억원),-166.31,-194.02,"-1,049.46",,,,17%,441%,-100%,#DIV/0!,#DIV/0!
CNH,연결,  전년동기대비(%),적전,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
CNH,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
CNT85,연결,매출액(억원),320.81,501.7,670.39,,,,56%,34%,-100%,#DIV/0!,#DIV/0!
